Ruund	French
Itwinkisha yakudia yiwanyidina pichuku pichuku.	Donne-nous chaque jour le pain nécessaire.
Tulikishina yitil yetu, mulong niyetu tukat kuyilikishinang antu awonsu akata kutusalang nayimp. Kangal witiy atwoza.’ ”	Pardonne-nous nos péchés, car nous pardonnons nous-mêmes à tous ceux qui nous ont fait du tort. Et ne nous expose pas à la tentation.” »
Yesu wayileja in kwilejend anch: “Tongany bil, ap umwing wa pakach penen waya ku chikumbu cha murund nend mukach mwa uchuku, wamwel anch: ‘Murund nam, nsondjikap mabot masatu.	Jésus leur dit encore: «Supposons ceci: l'un d'entre vous a un ami qu'il s'en va trouver chez lui à minuit pour lui dire: “Mon ami, prête-moi trois pains.
Murund nam mukwau wezil mu weny washik kal katat kwol kwam. Kinikwetap yakudia ya kumwinkish!’	Un de mes amis qui est en voyage vient d'arriver chez moi et je n'ai rien à lui offrir.”
Ap murund nend wamwakwil mukach mwa chikumbu anch: ‘Kangal wanswidiosh! Natekang kal mukwadiak ku chis, am ni anam twalalang kal. Kinikutwishap kulank mulong wa kukwinkish ey mabot, bwat!’	Et supposons que l'autre lui réponde de l'intérieur de la maison: “Laisse-moi tranquille! La porte est déjà fermée à clé, mes enfants et moi sommes au lit; je ne peux pas me lever pour te donner des pains.”
Nakulejany chakin, anch walikap nchik kulank kumwinkish yakudia mulong wa urund, ndiy ukulank kumwinkish yom yawonsu yikwetay nich kuswir mulong wadandamen kal kwit.	Eh bien, je vous l'affirme, même s'il ne se lève pas par amitié pour les lui donner, il se lèvera pourtant et lui donnera tout ce dont il a besoin parce que son ami insiste sans se gêner.
Chawiy nikulejinany anch: ‘Itany mu kulembil, Nzamb ukez kukwinkishany. Surabany, ukez kutanany. Kokalany ku chis, akez kukwanzurilany.’	Et moi, je vous dis: demandez et vous recevrez; cherchez et vous trouverez; frappez et l'on vous ouvrira la porte.
Mulong muntu mwawonsu ukata kwit, ukat kutambul kamu, tree encasement niyend ukata kusurab, ukat kutan, niyend kand ukata kukokal ku chis, akat kumwanzuril.	Car quiconque demande reçoit, qui cherche trouve et l'on ouvrira la porte à qui frappe.
Ov, kudi umwing wenen atatuku, anch mwanend wamwit insh, ndiy ukumwinkish nnak?	Si l'un d'entre vous est père, donnera-t-il un serpent à son fils alors que celui-ci lui demande un poisson?
Ap anch mwanend wamwit diy, ov, ndiy ukumwinkishay kapambamb?	Ou bien lui donnera-t-il un scorpion s'il demande un œuf?
Anch en udianyap nchik ayimp, ukat kupanany yom yiwamp kudi anen. Chawiy Tatukwen udia mwiur ukez kupandakeshamu kupan Mwiku Utumbila kudi awonsu akata kwit.”	Tout mauvais que vous êtes, vous savez donner de bonnes choses à vos enfants. A combien plus forte raison, donc, le Père qui est au ciel donnera-t-il le Saint-Esprit à ceux qui le lui demandent!»
Akat kumwel Yesu anch ukwet Belzebul	Jésus répond à une accusation portée contre lui
Chisu chimwing Yesu wading ni kumudiosh chilembil wamukangeshang muntu kulond. Chadiokalay chilembil, muntu wasambisha kulond, chad yisak ya antu avud ashimwoka nakash.	Jésus était en train de chasser un esprit mauvais qui rendait un homme muet. Quand l'esprit mauvais sortit, le muet se mit à parler et, dans la foule, les gens furent remplis d'étonnement.
Pakwez antu amwing alonda anch: “Udi Belzebul, mwant wa ayilembil, ndiy ukata kumwinkish Yesu ukash wa kuyidiosh ayilembil.”	Cependant, quelques-uns dirent: «C'est Béelzébul, le chef des esprits mauvais, qui lui donne le pouvoir de chasser ces esprits!»
Antu akwau asota kumupak Yesu pa kan, amwipul chakwel ayisadil chilay chimekeshina anch, ukash wend udiokil kudi Nzamb.	D'autres voulaient lui tendre un piège: ils lui demandèrent de montrer par un signe miraculeux qu'il venait de Dieu.
Pakwez Yesu wijika yitongijok yau, chad wayileja anch: “Anch want wiyauril yisak yivud, chad antu asambish kurish ayinau, want winou kiukez kushakamap machuku mavud. Anch antu a dijuku dimwing arish ayinau, dijuku dined dikez kujiy.	Mais Jésus connaissait leurs pensées; il leur dit alors: «Tout royaume dont les habitants luttent les uns contre les autres finit par être détruit, ses maisons s'écroulent les unes sur les autres.
Chawiy chimwing, anch want wa Sakudimban waurik yisak yivud, chad chisak chimwing charish nich chikwau, ov, want wend ukutwish kushakam? En ulondilany anch, am nikat kudiosh ayilembil nich ukash winginkishinay Belzebul.	Si donc Satan est en lutte contre lui-même, comment son royaume pourra-t-il se maintenir? Vous dites, en effet, que je chasse les esprits mauvais parce que Béelzébul m'en donne le pouvoir.
Komb anch am nikat kudiosh ayilembil ku ukash wa Belzebul, ing, in kukulondulany en akat kuyidiosh nich ukash wa nany? In kukulondulany en inay, awiy akeza kukufishany nich!	Si je les chasse de cette façon, qui donne à vos partisans le pouvoir de les chasser? Vos partisans eux-mêmes démontrent que vous avez tort!
Pakwez am nikat kudioshang ayilembil nich ukash wa Nzamb. Chinech chikwijikishany anch Want wa Nzamb washik kal kudi en.	En réalité, c'est avec la puissance de Dieu que je chasse les esprits mauvais, ce qui signifie que le Royaume de Dieu est déjà venu jusqu'à vous.
“Anch muntu mukash ukwet yom yend ya njit, chad ukat kulam chikumbu chend, yom yend yawonsu yikushakam nawamp.	«Quand un homme fort et bien armé garde sa maison, tous ses biens sont en sûreté.
Pakwez anch kwez muntu umupandakenamu usu wamurishikish, chad wamukwat, ndiy ukumwamuk yom yend yawonsu ya njit, ni kwangan yibuu.	Mais si un homme plus fort que lui arrive et s'en rend vainqueur, il lui enlève les armes dans lesquelles il mettait sa confiance et il distribue tout ce qu'il lui a pris.
“Muntu mwawonsu wakad kubombakan ni yamam, Wimpompatin am. Muntu mwawonsu wakad kwinkwash kuyikumangej antu, ukat kuyipalangesh.”	«Celui qui n'est pas avec moi est contre moi; et celui qui ne m'aide pas à rassembler disperse.»
Chilembil ukat kumuchirikin muntu	Le retour de l'esprit mauvais
Yesu walonda kand anch: “Pakat kudioshau chilembil mu muntu, chilembil winou ukat kuya ni kutambitamb mwi mpay mulong wa kusot pa kushakam. Anch kamenap ndond. ukat kutong anch: ‘Nikuchirik kwol kwam mu muntu munedia.’	«Lorsqu'un esprit mauvais est sorti d'un homme, il va et vient dans des espaces déserts en cherchant un lieu où s'établir. S'il n'en trouve pas, il se dit alors: “Je vais retourner dans ma maison, celle que j'ai quittée.”
Chawiy ndiy ukuchirik, chad ukutan chikumbu chend cha kukomb, achirijekin.	Il y retourne et la trouve balayée, bien arrangée.
Chawiy ndiy ukubudik, waya wayisend ayilembil akwau sambwad amupandakenamu ndiy kuyip, chad niyau akwez kushakam nend. Katat anch yom yiney yawonsu yapwa, muntu mwinou ukuman mar kupandakan mar ma kusambish.”	Alors il s'en va prendre sept autres esprits encore plus malfaisants que lui; ils reviennent ensemble dans la maison et s'y installent. Finalement, l'état de cet homme est donc pire qu'au début.»
Musangar wa kashinsh	Le vrai bonheur
Chapwishay Yesu kulond yom yiney, mband umwing wading mu chisak cha antu wabarika anch: “Wayuk mband wakuvala ni kukwamwish ey!”	Jésus venait de parler ainsi, quand une femme s'adressa à lui du milieu de la foule: «Heureuse est la femme qui t'a porté en elle et qui t'a allaité!»
Pakwez Yesu wamwakula anch: “Chakin kamu, pakwez ayuk kwau antu akata kutesh dizu dia Nzamb ni kudisadil!”	Mais Jésus répondit: «Heureux plutôt ceux qui écoutent la parole de Dieu et la mettent en pratique!»
Akat kwipul Yesu kusal chilay	La demande d'un signe miraculeux
Chashinyijanau antu kuya mulong wa kusej kudi Yesu, ndiy wayileja kand anch: “Antu a chirung chinech adi ayimp! Awiy akat kwipul chakwel ayisadil chilay, pakwez kakuyisadilap kand chilay chikwau, ching kusu chilay cha Yona.	Tandis que les foules s'amassaient autour de Jésus, il se mit à dire: «Les gens d'aujourd'hui sont mauvais; ils réclament un signe miraculeux, mais aucun signe ne leur sera accordé si ce n'est celui de Jonas.
Yisalijok ya Yona, muruu wa Nzamb, yading chijingidij kudi in Ninive, chawiy chimwing kand, yisalijok ya Mwan a Muntu yikez kwikal chijingidij kudi antu a chirung chinech.	En effet, de même que Jonas fut un signe pour les habitants de Ninive, ainsi le Fils de l'homme sera un signe pour les gens d'aujourd'hui.
Pidikeza kushik Dichuku dia Dirumburish dia Nzamb, antu a chirung chinech akez kuyifund kudi mwant mband wa ku Seba. Mulong mwant winou wadiokala kulemp kwi ngand yend ya kurul, weza ni kutesh malejan ma manangu ma Mwant Salomon. Chakin, nakulejany, pinap padi chom chijim chimupandakenamu Salomon!	Au jour du Jugement, la reine du Sud se lèvera en face des gens d'aujourd'hui et les accusera, car elle est venue des régions les plus lointaines de la terre pour écouter les paroles pleines de sagesse de Salomon. Et il y a ici plus que Salomon!
Pidikeza kushik Dichuku dia Dirumburish dia Nzamb, in Ninive akez kwiman piur ni kukufundany en, mulong awiy akarumuka kudiokal ku yitil yau pateshau mazu ma Nzamb marumburilay Yona. Talany, katat pinap kudi chom chijim chimupandakenamu Yona!	Au jour du Jugement, les habitants de Ninive se lèveront en face des gens d'aujourd'hui et les accuseront, car les Ninivites ont changé de comportement quand ils ont entendu prêcher Jonas. Et il y a ici plus que Jonas!»
Chimunyik cha mujimbu	La lumière du corps
“Kwikil muntu ukata kulimik mwend wa kasu, chad waubwikin mwi nnung, ap kuutek mwishin mwa ulal. Pakwez ukat kuutek pa ndond ya piur chakwel ukuyimunyikin antu awonsu adia mu chikumbu.	«Personne n'allume une lampe pour la cacher ou la mettre sous un seau; au contraire, on la place sur son support, afin que ceux qui entrent voient la lumière.
Mes mey madi mudi mwend wa kasu ukata kumunyik mu mujimbu wey. Anch mes mey mawapil, mu mujimbu wey mwawonsu mukez kwikal chimunyik. Pakwez anch mes mey kimawapilap, chad mu mujimbu mukez kujal mididim.	Tes yeux sont la lampe de ton corps: si tes yeux sont en bon état, tout ton corps est éclairé; mais si tes yeux sont mauvais, alors ton corps est dans l'obscurité.
Chawiy, babal, chakwel chimunyik ni ku Zakariy, wajipinau pakach pa chintamb ni Néome chidia mukach mwey, kangal chikal mididim.	Ainsi, prends garde que la lumière qui est en toi ne soit pas obscurité.
Anch mu mujimbu wey wawonsu mudi chimunyik chiwanyidina, kwikil ndond ap yimwing yikushala mididim. Chawiy mujimbu wey wawonsu ukumunyik too, mudi chitokish cha mwend wa kasu chikata kukumunyikin."	Si donc tout ton corps est éclairé, sans aucune partie dans l'obscurité, il sera tout entier en pleine lumière, comme lorsque la lampe t'illumine de sa brillante clarté.»
Yesu ukat kuyifund Afaris nau alej a Yijil	Jésus accuse les Pharisiens et les maîtres de la loi
Chapwishay Yesu kulond, Mufaris umwing wamutazuka kuya kudia kwol kwend. Chawiy Yesu waya, wandam mu chikumbu, washakam ku mes mulong wa kudia.	Quand Jésus eut fini de parler, un Pharisien l'invita à prendre un repas chez lui. Jésus entra et se mit à table.
Mufaris washimwoka pamanay anch, Yesu wadia kal wakad koyil makas.	Le Pharisien s'étonna lorsqu'il remarqua que Jésus ne s'était pas lavé avant le repas.
Chawiy Nsalejetu wijika yitongijok yend, wamwakul anch: "En, Afaris, ukat koyishany piur pa rupas ni pa dilong, pakwez en wizwilany nich ris ni chisum.	Le Seigneur lui dit alors: «Voilà comme vous êtes, vous les Pharisiens: vous nettoyez l'extérieur de la coupe et du plat, mais à l'intérieur vous êtes pleins du désir de voler et pleins de méchanceté.
En udiany ayisup! Nzamb wasala pol, ov, kindiyap wasala kand mukach?	Insensés que vous êtes! Dieu qui a fait l'extérieur n'a-t-il pas aussi fait l'intérieur?
Panany yom yidia mu jimpas ni pa malong men kudi atuzwendj, chad yom yawonsu yikez kwikal zwang kudi en.	Donnez donc plutôt aux pauvres ce qui est dans vos coupes et vos plats, et tout sera pur pour vous.
"Riyind kudi en Afaris! En ukat kupanany chadikum kudi Nzamb cha yom yikata kuwapish yakudia mudi ndung, ni tumayij, ni tuyom tukwau tukata kulet res ku yakudia, pakwez en ukat kudiulany dirumburish ditentamina ni rukat ra Nzamb. Yawiy yom yiney yifanyidina kusal, wakad kudiul yom yikwau.	«Malheur à vous, Pharisiens! Vous donnez à Dieu le dixième de plantes comme la menthe et la rue, ainsi que de toutes sortes de légumes, mais vous négligez la justice et l'amour pour Dieu: c'est pourtant là ce qu'il fallait pratiquer, sans négliger le reste.
"Riyind kudi en Afaris! En ukatilany kushakam pa yipwan ya katumb yidia mu yikumbu ya kulembil. Ukatilany kand antu kukulangwishany nich kalimish mu yiku.	«Malheur à vous, Pharisiens! Vous aimez les sièges les plus en vue dans les synagogues et vous aimez à recevoir des salutations respectueuses sur les places publiques.
Riyind kudi en! En udiany mudi jinzay jakad kumekan, jikat kudjatolau antu wakad kwijik."	Malheur à vous! Vous êtes comme des tombeaux qu'on ne remarque pas et sur lesquels on marche sans le savoir!»
Mulej umwing wa Yijil wamwela Yesu anch: "Mulej, piulondila yom yiney, ukat kutuswingish kand niyetu!"	Un des maîtres de la loi lui dit: «Maître, en parlant ainsi, tu nous insultes nous aussi!»
Yesu wamwakula anch: "Niyen, alej a Yijil, riyind ren kand! En ukat kuyitwikany antu akwau yisend yilimina, pakwez en ayinen kiwitiyinanyap kupukunaku ap kusu muny wen mulong wa kuyikwashaku kusend.	Jésus répondit: «Malheur à vous aussi, maîtres de la loi! Vous mettez sur le dos des gens des fardeaux difficiles à porter, et vous ne bougez pas même un seul doigt pour les aider à porter ces fardeaux.
Riyind kudi en! En ukat kutungany yikumbu kwikal yivurikish pa jinzay jau aruu a Nzamb ajipau kudi angakirilen.	Malheur à vous! Vous construisez de beaux tombeaux pour les prophètes, ces prophètes que vos ancêtres ont tués!
Chawiy en ukat kwitiyany anch yom yasalau anshankuren yading yiwamp, mulong awiy ayijipa aruu a Nzamb, chad en ukat kutungany yivurikish yau.	Vous montrez ainsi que vous approuvez les actes de vos ancêtres, car ils ont tué les prophètes, et vous, vous construisez leurs tombeaux!
Mulong wa chom chinech mukand upidilau anch: 'Manangu ma Nzamb,' aufundil anch: 'Am nikez kuyitum aruu am ni aruu akwau. Awiy akez kuyijipap amwing, chad akwau akez kuyizengol.'	C'est pourquoi Dieu, dans sa sagesse, a déclaré: “Je leur enverrai des prophètes et des apôtres; ils tueront certains d'entre eux et en persécuteront d'autres.”
Chawiy antu a chirung chinech akez kuyilej kadimu, mulong wa aruu a Nzamb awonsu kudiokal ku disambishil dia mangand.	Par conséquent, les gens d'aujourd'hui supporteront les conséquences des meurtres commis contre tous les prophètes depuis la création du monde,
Kusambishil pamujipau Abel djat ni ku Zakariy, wajipinau pakach pa chintamb ni Ndond Yitumbila, nakulejany chakin kamu, antu a chirung chinech akez kuyilej kadimu mulong wa antu awonsu ajipau!	depuis le meurtre d'Abel jusqu'à celui de Zacharie, qui fut tué entre l'autel et le sanctuaire. Oui, je vous l'affirme, les gens d'aujourd'hui supporteront les conséquences de tous ces meurtres!
"Riyind kudi en, alej a Yijil! Yen ulaminanya nfungul ya kwanzuril nich chis cha chikumbu cha ronganyin. En ayinen kiusotilanyap kwandam, chad ukat kuyikangeshany antu akwau asotila kwandam!"	«Malheur à vous, maîtres de la loi! Vous avez pris la clé permettant d'ouvrir la porte du savoir: vous n'entrez pas vous-mêmes et vous empêchez d'entrer ceux qui le désirent.»
Padiokalay Yesu mwi ndond yiniya, alej a Yijil nau Afaris asambisha kumulondol nayimp ni kumwipol yom yivud.	Quand Jésus fut sorti de cette maison, les maîtres de la loi et les Pharisiens se mirent à lui manifester une violente fureur et à lui poser des questions sur toutes sortes de sujets:
Awiy apakisha kumupak pa kan chakwel ap ukulond chom chiyimp.	ils lui tendaient des pièges pour essayer de surprendre quelque chose de faux dans ses paroles.
Yesu ukat kuyibabesh antu mulong wa rubabek	Une mise en garde contre l'hypocrisie
Chiyasuta yom yiney, chisak chijim cha antu chakumangana. Kwadinga tunan twa antu, ashinyijana ni kudjatijan, Yesu wasambela kuyilej in kwilejend anch: "Babalany ku rubabek ra Afaris ridia mudi chivish chiyimp.	Pendant ce temps, les gens s'étaient assemblés par milliers, au point qu'ils se marchaient sur les pieds les uns des autres. Jésus s'adressa d'abord à ses disciples: «Gardez-vous, leur dit-il, du levain des Pharisiens, c'est-à-dire de leur hypocrisie.
Yom yawonsu yijingamina yikez kumekan patok, ujindj wawonsu akez kuujingunin.	Tout ce qui est caché sera découvert, et tout ce qui est secret sera connu.
Chawiy yom yawonsu yiwalondilanya mu mididim yikez kwovakan mukach mwa muten. Chikwau kand, yom yawonsu yiwalondilanya mu tuyauyau ku ujindj mu kapalakany ka kupat, akez kuyilondil pa misong ya yikumbu kudi antu awonsu.	C'est pourquoi tout ce que vous aurez dit dans l'obscurité sera entendu à la lumière du jour, et ce que vous aurez murmuré à l'oreille d'autrui dans une chambre fermée sera crié du haut des toits.»
Nany ufanyidinau kwov wom	Celui qu'il faut craindre
"Nikulejinany en, arund nam, kangal wovany wom wa antu akata kujip mujimbu, chad anch ey wafa kal kakutwishap kand kusal chom chikwau chiyimp.	«Je vous le dis, à vous mes amis: ne craignez pas ceux qui tuent le corps mais qui, ensuite, ne peuvent rien faire de plus.
Nisotil kukulejany en nany ufanyidinanya kwov wom. Umwovany Nzamb wom, mulong anch ndiy wajipan, ukwet kand ulabu wa kukudjibwilany mu Dijiy dia Kasu. Chakin kamu, ndiy winou ufanyidinanya kwov wom ni kumulimish!	Je vais vous montrer qui vous devez craindre: craignez Dieu qui, après la mort, a le pouvoir de vous jeter en enfer. Oui, je vous le dis, c'est lui que vous devez craindre!
"Ov, kakat kulandishap amiswesu atan kwi nfalang jaad? Pakwez Nzamb kakuvuramenap muswesu ap umwing.	«Ne vend-on pas cinq moineaux pour deux sous? Cependant, Dieu n'en oublie pas un seul.
Nswich ja ku mitu yen, niyau ajichindil kamu jawonsu. Chawiy kangal wovany wom. En ukwetany usey uvud kuyipandakanamu amiswesu avud!	Et même vos cheveux sont tous comptés. N'ayez donc pas peur: vous valez plus que beaucoup de moineaux!»
Kumwitiyij ap kumulik Yesu Kristu	Confesser ou renier Jésus-Christ
"Nakulejany chakin, anch muntu mwawonsu ukata kwingitiyij patok pakach pa antu, niyend Mwan a Muntu ukez kumwitiyin patok kudi aruu a mwiur a Nzamb.	«Je vous le dis: quiconque reconnaît publiquement qu'il est mon disciple, le Fils de l'homme aussi reconnaîtra devant les anges de Dieu qu'il est à lui;
Pakwez muntu mwawonsu ukata kwinlik pakach pa antu, niyend Mwan a Muntu ukez kumulikin patok kudi aruu a mwiur a Nzamb.	mais si quelqu'un affirme publiquement ne pas me connaître, le Fils de l'homme aussi affirmera devant les anges de Dieu qu'il ne le connaît pas.
“Muntu: mwawonsu ukeza kumulond Mwan a Nzamb nayimp, akez kumulikishin. Pakwez muntu mwawonsu ukeza kumusaal Mwiku Utumbila masaal, kakez kumulikishinap.	Quiconque dira une parole contre le Fils de l'homme sera pardonné; mais celui qui aura fait insulte au Saint-Esprit ne recevra pas de pardon.
“Pakukutwalanyau ku dirumburish mu yikumbu ya kulembil, ap kudi anyikel, ap kudi in kutakel akwau, kangal wiyakamishany mulong wa kwilondilap ayinen, ap mulong wa mazu miukeza kulondany.	«Quand on vous conduira pour être jugés dans les synagogues, ou devant les dirigeants ou les autorités, ne vous inquiétez pas de la manière dont vous vous défendrez ou de ce que vous aurez à dire,
Mulong Mwiku Utumbila ukez kukulejany pa chisu chinicha yom yiukulondanya.”	car le Saint-Esprit vous enseignera à ce moment-là ce que vous devez exprimer.»
Chishimu cha mpich chisup	La parabole du riche insensé
Muntu umwing wading mu chisak wamwela Yesu anch: “Mulej, muleja mwanamakwam chakwel twangan nend dipit diatushilay tatukwetu.”	Quelqu'un dans la foule dit à Jésus: «Maître, dis à mon frère de partager avec moi les biens que notre père nous a laissés.»
Yesu wamwakula anch: “Ov, muntwey, nany wanteka am kwikal nkalansambu wa milong yen, ap mwin kukwangenany dipit dien?”	Jésus lui répondit: «Mon ami, qui m'a établi pour juger vos affaires ou pour partager vos biens?»
Yesu wayileja antu awonsu anch: “Babalany, ichidijany ayinen, likany ris ra mitapu yawonsu, mulong mwom wakin wa muntu kiudiap mu yom yikwetay, ap anch ukwetap nchik mapit mavud.”	Puis il dit à tous: «Attention! Gardez-vous de tout amour des richesses, car la vie d'un homme ne dépend pas de ses biens, même s'il est très riche.»
Chad Yesu wayitila chishimu anch: “Kwading mpich umwing wakweting yingand yifukina, yasonga yom ya kudia yivud.	Il leur raconta alors cette parabole: «Un homme riche avait des terres qui lui rapportèrent de bonnes récoltes.
Wasambisha kutong anch: ‘Kinikwetap jinkil jiwanyidina ja kulamin yakudia yawonsu. Ov, nikusal nchik?’	Il réfléchissait et se demandait: “Que vais-je faire? Je n'ai pas de place où amasser toutes mes récoltes.”
Chad watonga anch: ‘Komb nisala mwamu. Nikez kumwangon jinkil jam chakwel nez nitung jinkil jipandakena kujimb, mwa kulamin yakudia ni yom yam yikwau yawonsu.	Puis il ajouta: “Voici ce que je vais faire: je vais démolir mes greniers, j'en construirai de plus grands, j'y amasserai tout mon blé et mes autres biens.
Nikez kuulej mupim wam anch, Mupim wam, ey watap kal dilau! Ey ukwet yom yiwanyidina ya mivu yivud. Katat iswedisha kwey, diang ni kuna, isangarisha kwey amwiney!’	Ensuite, je me dirai à moi-même: Mon cher, tu as des biens en abondance pour de nombreuses années; repose-toi, mange, bois et jouis de la vie.”
Pakwez Nzamb wamuleja anch: ‘Chisup ey! Uchuku winou kamu ey ukukatuk mupim. Ov, nany ukeza kutambul yom yiney yawonsu yiwakumangejina kal?’.”	Mais Dieu lui dit: “Insensé! Cette nuit même tu cesseras de vivre. Et alors, pour qui sera tout ce que tu as accumulé?” »
Yesu walonda kand anch: “Mwamu muchikwikala kudi antu akata kwikumangejin mapit ayinau, pakwez aburedin mapit makin ku mes kwa Nzamb.”	Jésus ajouta: «Ainsi en est-il de celui qui amasse des richesses pour lui-même, mais qui n'est pas riche aux yeux de Dieu.»
Kukungamen kudi Nzamb	Avoir confiance en Dieu
Chad Yesu wayileja in kwilejend anch: “Kangal wiyakamishany mulong wa yakudia ya mujimbu ap mulong wa yidjal.	Puis Jésus dit à ses disciples: «Voilà pourquoi je vous dis: Ne vous inquiétez pas au sujet de la nourriture dont vous avez besoin pour vivre, ou au sujet des vêtements dont vous avez besoin pour votre corps.
Mwom wa muntu ukwet usey uvud kupandakanamu yakudia, chawiy kand chimwing, mujimbu wa muntu ukwet usey uvud kupandakanamu yidjal.	Car la vie est plus importante que la nourriture et le corps plus important que les vêtements.
Talany ankwaj. Kakukunangap mbut, ap kwangul. Awiy kakwetap jinkil ap yikumbu ya kulamin yom, pakwez Nzamb ukat kuyidish! En ukwetany usey ujim kupandakanamu atujil!	Regardez les corbeaux: ils ne sèment ni ne moissonnent, ils n'ont ni cave à provisions ni grenier, mais Dieu les nourrit! Vous valez beaucoup plus que les oiseaux!
Ov, nany wa pakach penen anch unenganen ukutwisha kuwejaku ku mwom wend kachisu kakemp?	Qui d'entre vous parvient à prolonger un peu la durée de sa vie par le souci qu'il se fait?
Anch kiukutwishanyap kusal kachom kakemp mudi kinak, ov, mulong wak ukunenganenanya mulong wa yom yikwau?	Si donc vous ne pouvez rien pour ce qui est très peu de chose, pourquoi vous inquiétez-vous au sujet du reste?
Talany, yisalamb ya mu masuku mutapu uyidia. Yawiy kiyikusalangap mudimu, ap kwichimin yidjal, pakwez nakulejinany chakin, Mwant Salomon wakweting miril ya mapit, chad kadingap nich yidjal ya ufun mudi chisalamb chimwing cha mu masuku.	Regardez comment poussent les fleurs des champs: elles ne travaillent pas et ne tissent pas de vêtements. Pourtant, je vous le dis, même Salomon, avec toute sa richesse, n'a pas eu de vêtements aussi beaux qu'une seule de ces fleurs.
Nzamb amwinend ukata kuriyek ufun wa masuku. Masuku minam makat kumekan ilel, chad diamashik akez kumosh kasu. Chakin, en ukwetany ritiy rikemp! Ov, yidjal yikupanay Nzamb kudi en, kiyikupandakanap ufun wa masuku?	Dieu revêt ainsi l'herbe des champs qui est là aujourd'hui et qui demain sera jetée au feu: à combien plus forte raison vous vêtira-t-il vous-mêmes! Comme votre confiance en lui est faible!
“Chawiy kangal wanengananany mulong wa kukimb yakudia ni yakuna.	Ne vous tourmentez donc pas à chercher continuellement ce que vous allez manger et boire.
Jn mangand akat kukimb yom yiney yisu yawonsu. Pakwez en, Tatukwen wij kal anch, ukwetany kuswir kwa yom yiney.	Ce sont les païens de ce monde qui recherchent sans arrêt tout cela. Mais vous, vous avez un Père qui sait que vous en avez besoin.
Pa ndond pa yom yiney, en kimbany Want wa Nzamb, chad ndiy ukukuwejinanyaku kand yom yiney.	Préoccupez-vous plutôt du Royaume de Dieu et Dieu vous accordera aussi le reste.»
Laminany mapit mwiur	Des richesses dans le ciel
“Kangal wovany wom, ap anch udianyap nchik chisak chikemp, mulong Tatukwen usanger kukwinkishany Want wend.	«N'aie pas peur, petit troupeau! Car il a plu à votre Père de vous donner le Royaume.
Landishany yom yen yawonsu yiukwetanya, chad upanany nfalang kudi atuzwendj. Rijekany yipau yakad kufang, laminany mapit men mwiur. Mwinimwa makutwishap kushadik, mulong aij kakutwishap kumiy, ap musu kakutwishap kumashesh.	Vendez vos biens et donnez l'argent aux pauvres. Munissez-vous de bourses qui ne s'usent pas, amassez-vous des richesses dans les cieux, où elles ne disparaîtront jamais: les voleurs ne peuvent pas les y atteindre ni les vers les détruire.
Mulong kudia mapit mey, kwawiy kand kukwikala muchim wey.	Car votre cœur sera toujours là où sont vos richesses.»
Atulam ababela	Des serviteurs qui veillent
“Irijekany, kasikeshany may, limikany mend yen ya kasu.	«Soyez prêts à agir, avec la ceinture serrée autour de la taille et vos lampes allumées.
Chifanyidin en wikalany mudi atushalapol ababela akata kumuchingel nsalejau kuchirik kudiokal ku musambu wa kwatan kwayay. Pakushikay, wakokal ku chis, chad awiy akez kumwanzuril.	Soyez comme des serviteurs qui attendent leur maître au moment où il va revenir d'un mariage, afin de lui ouvrir la porte dès qu'il arrivera et frappera.
Ayuk kwau atushalapol akutanau kud: nsalejau atadil! Chakin nakulejany, anch ndiy ukez kuyitazukir yakudia, chad ukez kudjal maswin ma mudimu mulong wi kuyinkish yakudia.	Heureux ces serviteurs que le maître, à son arrivée, trouvera éveillés! Je vous le déclare, c'est la vérité: il attachera sa ceinture, les fera prendre place à table et viendra les servir.
Ayuk kwau anch ndiy wez mukach mwi uchuku wayitan irijekang kal, ap anch wezap nchik pa nkunk pa kucha!	S'il revient à minuit ou même plus tard encore et qu'il les trouve éveillés, heureux sont-ils!
En wijany, anch mwin chikumbu wadi wij chist chikwezay mwij, ing wamukangesha mwij kubuz chikumbi ni kwandam.	«Comprenez bien ceci: si le maître de la maison savait à quelle heure le voleur doit venir, il ne le laisserait pas pénétrer dans la maison.
Chifanyidin niyen wirijekany kand, mulon: Mwan a Muntu ukwez kwa kukashimuk pa chisu chiwakadiany en kwijik.”	Tenez-vous prêts, vous aussi, car le Fils de l'homme viendra à l'heure que vous ne pensez pas.»
Atushalapol akin ni akad akin	Le serviteur fidèle et le serviteur infidèle
Pita wamwipula Yesu anch: “Ov, chishimu chinech ututidil etu kusu, anch uyitidil kand ni antu awonsu?”	Alors Pierre demanda: «Seigneur, dis-tu cette parabole pour nous seulement ou bien pour tout le monde?»
Nsalejetu wamwakula anch: “Ov, nany kashalapol wakin ukweta manangu? Ndiy kamu ukwinkishau mudimu kudi mwant wend, wa kulam chikumbu ni kuyangen atushalapol akwau yakudia yau pa chisu chiwanyidina.	Le Seigneur répondit: «Quel est donc le serviteur fidèle et intelligent? En voici un que son maître va charger de veiller sur la maison et de donner aux autres serviteurs leur part de nourriture au moment voulu.
Wayuk kwend kashalapol pakuchirikay mwant wend, anch wamutan ukat kusal mudimu winou!	Heureux ce serviteur si le maître, à son retour chez lui, le trouve occupé à ce travail!
